iteration	fitness_arr_avg	fitness_arr_max	fitness_arr_min	fitness_arr_stab_avg	fitness_arr_stab_max	fitness_arr_stab_min	fitness_arr_coll_avg	fitness_arr_coll_max	fitness_arr_coll_min	fitness_arr_powr_avg	fitness_arr_powr_max	fitness_arr_powr_min	fitness_arr_dist_avg	fitness_arr_dist_max	fitness_arr_dist_min	fitness_arr_slip_avg	fitness_arr_slip_max	fitness_arr_slip_min
0.000000	3.651098	3.834573	3.511713	0.401250	0.481971	0.294235	-2.971016	-2.932690	-3.025754	0.000000	0.000000	0.000000	1.346303	1.404604	1.252045	0.264972	0.387187	0.206128
1.000000	2.045290	2.886598	0.800367	1.114784	1.414959	0.843318	-2.960843	-2.740235	-3.147466	0.000000	0.000000	0.000000	0.797420	1.423451	-0.222451	0.598189	0.671309	0.431755
2.000000	2.586115	3.142816	1.858315	1.078160	1.721622	0.628600	-3.012814	-2.857110	-3.180420	0.000000	0.000000	0.000000	1.243731	1.410570	1.041380	0.592270	0.679666	0.512535
3.000000	2.777031	3.230008	2.472611	1.029312	1.302857	0.493895	-3.131916	-2.907266	-3.290359	0.000000	0.000000	0.000000	1.269830	1.384112	1.107169	0.595404	0.724234	0.462396
4.000000	2.071260	2.644270	1.454921	1.311951	2.014392	0.991162	-2.998873	-2.749682	-3.128976	0.000000	0.000000	0.000000	1.021524	1.316718	0.378720	0.637187	0.735376	0.518106
5.000000	2.681421	3.277949	2.222406	1.018599	1.359879	0.617273	-3.112115	-2.895298	-3.257088	0.000000	0.000000	0.000000	1.161024	1.364312	0.981043	0.573120	0.685237	0.286908
6.000000	2.759417	3.382221	2.023679	0.775279	1.203755	0.494052	-3.154507	-3.031544	-3.231142	0.000000	0.000000	0.000000	0.884020	1.145455	0.488203	0.503830	0.682451	0.325905
7.000000	2.689708	3.273857	1.918800	1.040951	1.832039	0.575416	-3.169840	-3.070041	-3.289474	0.000000	0.000000	0.000000	1.068131	1.212250	0.817727	0.507312	0.612813	0.264624
8.000000	2.901303	3.361644	2.153617	0.779137	1.151921	0.409298	-3.153683	-3.084089	-3.236197	0.000000	0.000000	0.000000	0.968610	1.206877	0.658805	0.441852	0.590529	0.150418
9.000000	2.490712	2.834508	1.755681	0.968987	1.523847	0.717047	-3.067125	-2.984280	-3.194876	0.000000	0.000000	0.000000	0.917644	1.307351	0.540856	0.525070	0.679666	0.373259
10.000000	2.764456	3.106304	2.242003	0.825321	1.118134	0.596937	-3.122738	-3.024712	-3.236992	0.000000	0.000000	0.000000	0.971913	1.322814	0.735840	0.504875	0.654596	0.426184
11.000000	2.755513	3.311008	2.311327	0.804975	1.164223	0.545401	-3.106723	-2.981589	-3.231123	0.000000	0.000000	0.000000	0.985798	1.239972	0.499743	0.532033	0.679666	0.323120
12.000000	2.414471	2.915439	1.934920	1.177391	1.585521	0.827447	-3.133706	-3.045938	-3.217411	0.000000	0.000000	0.000000	1.018741	1.220410	0.601510	0.560585	0.649025	0.387187
13.000000	2.091103	2.927056	-0.597414	1.296112	1.810532	0.748456	-3.156493	-3.027068	-3.269320	0.000000	0.000000	0.000000	0.848758	1.321076	-1.098072	0.618036	0.715877	0.459610
14.000000	2.111624	2.475067	1.212827	1.377022	1.838388	1.108905	-3.117741	-2.939465	-3.196248	0.000000	0.000000	0.000000	1.039429	1.310454	0.650904	0.668524	0.749304	0.612813
15.000000	2.374564	2.852763	1.738760	1.146705	1.442403	0.764375	-3.149270	-3.011067	-3.291503	0.000000	0.000000	0.000000	1.030774	1.294330	0.605757	0.658774	0.746518	0.579387
16.000000	2.211061	2.985592	1.183752	1.536381	2.413379	0.787601	-3.164368	-3.066132	-3.293309	0.000000	0.000000	0.000000	1.241500	1.624306	0.891565	0.658426	0.696379	0.587744
17.000000	2.396937	2.791107	1.983747	1.383532	1.959665	0.754613	-3.151103	-3.036736	-3.290593	0.000000	0.000000	0.000000	1.304506	1.496632	1.124907	0.675139	0.735376	0.607242
18.000000	2.197251	3.157411	0.949254	1.290278	1.871514	0.812468	-3.029115	-2.908590	-3.170392	0.000000	0.000000	0.000000	1.094904	1.609251	-0.249423	0.636490	0.713092	0.518106
19.000000	2.542644	3.044931	2.038765	1.284650	1.946365	0.614891	-3.032419	-2.866249	-3.284329	0.000000	0.000000	0.000000	1.482201	1.675647	1.366540	0.687326	0.724234	0.649025
20.000000	2.245469	2.888463	1.575724	1.408263	1.921746	0.762243	-2.939512	-2.833365	-3.036282	0.000000	0.000000	0.000000	1.369513	1.680183	1.087858	0.655292	0.746518	0.579387
21.000000	2.360574	2.769788	1.814454	1.099963	1.477446	0.466796	-2.902063	-2.806801	-3.027953	0.000000	0.000000	0.000000	1.201928	1.530358	0.930532	0.643454	0.729805	0.545961
22.000000	2.499201	2.954392	1.489889	0.909469	1.371227	0.640458	-2.917330	-2.868778	-2.996324	0.000000	0.000000	0.000000	1.104502	1.401708	0.635333	0.613162	0.690808	0.551532
23.000000	2.414990	2.846875	1.885692	1.213820	1.889471	0.582393	-2.989244	-2.911380	-3.041497	0.000000	0.000000	0.000000	1.249942	1.479623	0.975669	0.610376	0.671309	0.526462
24.000000	2.175579	2.742580	1.591378	1.324285	2.037618	0.802104	-2.979987	-2.809469	-3.155191	0.000000	0.000000	0.000000	1.179348	1.365152	1.044601	0.659471	0.732591	0.548747
25.000000	2.423577	2.965849	1.402343	1.206495	2.211289	0.694052	-3.095937	-2.983781	-3.209881	0.000000	0.000000	0.000000	1.157046	1.337745	0.742252	0.622911	0.729805	0.481894
26.000000	2.726447	3.052429	2.267687	0.944763	1.267971	0.543128	-3.027023	-2.925207	-3.164474	0.000000	0.000000	0.000000	1.260135	1.447132	0.971708	0.615947	0.735376	0.543175
27.000000	2.466548	3.022138	1.761131	1.106529	1.884683	0.688645	-3.019148	-2.906283	-3.077684	0.000000	0.000000	0.000000	1.168831	1.415468	0.948094	0.614903	0.699164	0.512535
28.000000	2.561409	3.085780	2.046339	1.090941	1.565714	0.615248	-3.075131	-2.967467	-3.236747	0.000000	0.000000	0.000000	1.145463	1.282469	0.804519	0.568245	0.640669	0.495822
29.000000	2.436266	2.904901	2.004182	1.201391	1.745089	0.776832	-3.179382	-3.095893	-3.244504	0.000000	0.000000	0.000000	1.073525	1.459460	0.756172	0.615251	0.679666	0.495822
30.000000	2.423684	2.670510	2.026561	1.210127	1.490616	0.852530	-3.173929	-3.044020	-3.259206	0.000000	0.000000	0.000000	1.108560	1.310465	0.834456	0.648677	0.682451	0.593315
31.000000	2.258883	2.693768	1.635081	1.361443	2.163574	1.044475	-3.140603	-3.042041	-3.204643	0.000000	0.000000	0.000000	1.113775	1.466921	0.769109	0.634053	0.710306	0.565460
32.000000	2.056201	2.357019	1.816365	1.455451	1.972899	1.184212	-3.130229	-3.036544	-3.213912	0.000000	0.000000	0.000000	1.035323	1.317411	0.606132	0.653900	0.690808	0.584958
33.000000	2.046415	2.571903	1.304322	1.502009	2.064091	1.216692	-3.061382	-2.915519	-3.222689	0.000000	0.000000	0.000000	1.144424	1.394734	0.846458	0.657382	0.757660	0.534819
34.000000	2.114897	2.587370	1.602050	1.456277	2.015377	0.769510	-3.131661	-3.009568	-3.302763	0.000000	0.000000	0.000000	1.108384	1.431154	0.768281	0.668872	0.727019	0.557103
35.000000	2.017596	2.686406	0.720395	1.338014	2.359756	0.767822	-3.105853	-3.005734	-3.249956	0.000000	0.000000	0.000000	0.862919	1.093968	0.495303	0.613162	0.674095	0.537604
36.000000	2.255374	2.698752	1.613101	1.189565	2.099944	0.630558	-3.081764	-2.927513	-3.209778	0.000000	0.000000	0.000000	0.995139	1.265021	0.710061	0.631964	0.696379	0.562674
37.000000	2.184202	2.798710	0.987888	1.275682	2.116863	0.749019	-3.121782	-3.046962	-3.239369	0.000000	0.000000	0.000000	0.939773	1.207168	0.672170	0.601671	0.676880	0.526462
38.000000	2.460424	2.746023	2.072249	1.100838	1.449523	0.741775	-3.144886	-3.007828	-3.224701	0.000000	0.000000	0.000000	1.045903	1.205573	0.742484	0.629526	0.729805	0.476323
39.000000	2.626921	3.117949	2.302321	1.052583	1.397957	0.545686	-3.154968	-3.093412	-3.235059	0.000000	0.000000	0.000000	1.125511	1.405992	0.841848	0.600975	0.679666	0.456825
40.000000	2.790636	3.125637	2.294042	0.867081	1.346973	0.563345	-3.157970	-3.104438	-3.235729	0.000000	0.000000	0.000000	1.060680	1.295059	0.973496	0.560933	0.643454	0.473538
41.000000	2.818251	3.211483	2.364030	0.832022	1.173959	0.580779	-3.126837	-3.047192	-3.252784	0.000000	0.000000	0.000000	1.038408	1.179681	0.839283	0.514972	0.651811	0.437326
42.000000	2.662268	2.976839	2.394262	1.131506	1.408079	0.821796	-3.219845	-3.110979	-3.284203	0.000000	0.000000	0.000000	1.142871	1.235775	1.009942	0.568941	0.615599	0.479109
