iteration	J-0	J-1	J-2	J-3	J-4	J-5	J-6	J-7	J-8	J-9	J-10	J-11	J-12	J-13	J-14	J-15	J-16	J-17	Sensor
74	-0.430112	1.75473	-0.581197	0.422022	1.83672	-0.492408	-0.430112	1.75473	-0.581197	0.422022	1.83672	-0.492408	-0.430112	1.75473	-0.581197	0.422022	1.83672	-0.492408	0.00213219
75	-0.427195	1.74647	-0.582788	0.420997	1.85222	-0.491223	-0.427195	1.74647	-0.582788	0.420997	1.85222	-0.491223	-0.427195	1.74647	-0.582788	0.420997	1.85222	-0.491223	0.00220729
76	-0.422898	1.73956	-0.583252	0.418544	1.86841	-0.490497	-0.422898	1.73956	-0.583252	0.418544	1.86841	-0.490497	-0.422898	1.73956	-0.583252	0.418544	1.86841	-0.490497	0.00211416
77	-0.417244	1.73402	-0.582641	0.414646	1.8851	-0.490251	-0.417244	1.73402	-0.582641	0.414646	1.8851	-0.490251	-0.417244	1.73402	-0.582641	0.414646	1.8851	-0.490251	0.00180891
78	-0.410284	1.72986	-0.581031	0.409299	1.90207	-0.490485	-0.410284	1.72986	-0.581031	0.409299	1.90207	-0.490485	-0.410284	1.72986	-0.581031	0.409299	1.90207	-0.490485	0.00144022
79	-0.402092	1.72704	-0.578515	0.402516	1.9191	-0.491176	-0.402092	1.72704	-0.578515	0.402516	1.9191	-0.491176	-0.402092	1.72704	-0.578515	0.402516	1.9191	-0.491176	0.00100156
80	-0.392765	1.7255	-0.575197	0.394324	1.93599	-0.492288	-0.392765	1.7255	-0.575197	0.394324	1.93599	-0.492288	-0.392765	1.7255	-0.575197	0.394324	1.93599	-0.492288	0.000502735
81	-0.382419	1.72514	-0.571193	0.384766	1.95255	-0.493767	-0.382419	1.72514	-0.571193	0.384766	1.95255	-0.493767	-0.382419	1.72514	-0.571193	0.384766	1.95255	-0.493767	-0.000375514
82	-0.371181	1.72587	-0.566622	0.373891	1.96862	-0.49555	-0.371181	1.72587	-0.566622	0.373891	1.96862	-0.49555	-0.371181	1.72587	-0.566622	0.373891	1.96862	-0.49555	-0.000748238
83	-0.359187	1.72756	-0.5616	0.361759	1.98405	-0.497563	-0.359187	1.72756	-0.5616	0.361759	1.98405	-0.497563	-0.359187	1.72756	-0.5616	0.361759	1.98405	-0.497563	-0.00126625
84	-0.346572	1.7301	-0.556239	0.348434	1.99873	-0.499728	-0.346572	1.7301	-0.556239	0.348434	1.99873	-0.499728	-0.346572	1.7301	-0.556239	0.348434	1.99873	-0.499728	-0.00133138
85	-0.333469	1.73334	-0.550644	0.333983	2.0126	-0.501962	-0.333469	1.73334	-0.550644	0.333983	2.0126	-0.501962	-0.333469	1.73334	-0.550644	0.333983	2.0126	-0.501962	-0.0012483
86	-0.320003	1.73719	-0.544904	0.318472	2.02559	-0.504182	-0.320003	1.73719	-0.544904	0.318472	2.02559	-0.504182	-0.320003	1.73719	-0.544904	0.318472	2.02559	-0.504182	-0.00120866
87	-0.306288	1.74151	-0.539101	0.301969	2.03767	-0.506303	-0.306288	1.74151	-0.539101	0.301969	2.03767	-0.506303	-0.306288	1.74151	-0.539101	0.301969	2.03767	-0.506303	-0.00181639
88	-0.29242	1.74621	-0.533299	0.284535	2.04883	-0.508243	-0.29242	1.74621	-0.533299	0.284535	2.04883	-0.508243	-0.29242	1.74621	-0.533299	0.284535	2.04883	-0.508243	-0.00175132
89	-0.278482	1.75119	-0.527552	0.26623	2.05908	-0.50992	-0.278482	1.75119	-0.527552	0.26623	2.05908	-0.50992	-0.278482	1.75119	-0.527552	0.26623	2.05908	-0.50992	-0.00238832
90	-0.264346	1.75646	-0.521715	0.246672	2.06819	-0.510718	-0.264346	1.75646	-0.521715	0.247554	2.06863	-0.511792	-0.264727	1.75623	-0.522079	0.247554	2.06863	-0.511792	-0.00283122
91	-0.250355	1.76181	-0.51611	0.22657	2.07646	-0.511314	-0.250355	1.76181	-0.51611	0.22791	2.07721	-0.513028	-0.250904	1.76138	-0.516619	0.22791	2.07721	-0.513028	-0.00245761
92	-0.236528	1.76712	-0.510742	0.205996	2.08396	-0.511692	-0.236528	1.76712	-0.510742	0.207339	2.08479	-0.513499	-0.237047	1.7666	-0.511205	0.207339	2.08479	-0.513499	-0.00192349
93	-0.222817	1.77232	-0.505562	0.184888	2.09064	-0.511658	-0.222817	1.77232	-0.505562	0.186021	2.09142	-0.513264	-0.223227	1.7718	-0.50591	0.186021	2.09142	-0.513264	-0.00201978
94	-0.209149	1.7774	-0.50052	0.163135	2.09642	-0.510913	-0.209149	1.7774	-0.50052	0.164196	2.09723	-0.512498	-0.209506	1.77683	-0.500802	0.164196	2.09723	-0.512498	-0.00228371
95	-0.195519	1.7823	-0.495634	0.140827	2.10129	-0.50942	-0.195519	1.7823	-0.495634	0.141913	2.10221	-0.511135	-0.195854	1.78162	-0.495875	0.141913	2.10221	-0.511135	-0.003047
96	-0.181887	1.78699	-0.490914	0.118005	2.10522	-0.507062	-0.181887	1.78699	-0.490914	0.119287	2.10643	-0.509209	-0.182245	1.78607	-0.491134	0.119287	2.10643	-0.509209	-0.00290111
97	-0.168272	1.79128	-0.486409	0.0949522	2.10839	-0.50413	-0.168272	1.79128	-0.486409	0.0962127	2.10972	-0.506375	-0.168582	1.79024	-0.486555	0.0962127	2.10972	-0.506375	-0.00295767
98	-0.154592	1.79517	-0.48211	0.0716701	2.11075	-0.50046	-0.154592	1.79517	-0.48211	0.0728851	2.11219	-0.502774	-0.154847	1.79403	-0.482175	0.0728851	2.11219	-0.502774	-0.00287957
99	-0.140795	1.79861	-0.47804	0.0482786	2.11232	-0.496089	-0.140795	1.79861	-0.47804	0.0494028	2.11382	-0.498391	-0.140985	1.7974	-0.478019	0.0494028	2.11382	-0.498391	-0.00293952
100	-0.126818	1.8016	-0.474228	0.0248657	2.11311	-0.490988	-0.126818	1.8016	-0.474228	0.0259148	2.1147	-0.493314	-0.126944	1.8003	-0.474121	0.0259148	2.1147	-0.493314	-0.00320339
101	-0.112603	1.80413	-0.470717	0.00154343	2.11311	-0.485173	-0.112603	1.80413	-0.470717	0.00256108	2.11486	-0.487636	-0.112669	1.80268	-0.470514	0.00256108	2.11486	-0.487636	-0.00342471
102	-0.0981034	1.80616	-0.467553	-0.0215332	2.11238	-0.47877	-0.0981034	1.80616	-0.467553	-0.0205519	2.11434	-0.481388	-0.0980999	1.80454	-0.467242	-0.0205519	2.11434	-0.481388	-0.0039053
103	-0.0832722	1.80774	-0.464795	-0.0442503	2.11094	-0.471823	-0.0832722	1.80774	-0.464795	-0.0432741	2.1132	-0.474728	-0.0831863	1.80584	-0.464347	-0.0432741	2.1132	-0.474728	-0.00463567
104	-0.0680774	1.80887	-0.462508	-0.0664766	2.10879	-0.464439	-0.0680774	1.80887	-0.462508	-0.0654791	2.11152	-0.467798	-0.0678824	1.80656	-0.461872	-0.0654791	2.11152	-0.467798	-0.00477156
105	-0.0524815	1.80944	-0.460707	-0.0880289	2.10615	-0.456962	-0.0524815	1.80944	-0.460707	-0.0871066	2.10917	-0.46054	-0.0521706	1.80686	-0.459908	-0.0871066	2.10917	-0.46054	-0.00497998
106	-0.0364713	1.80951	-0.459453	-0.108831	2.10297	-0.44946	-0.0364713	1.80951	-0.459453	-0.108013	2.10625	-0.453203	-0.0360369	1.80669	-0.458492	-0.108013	2.10625	-0.453203	-0.00510104
107	-0.0200457	1.80909	-0.458781	-0.128792	2.09931	-0.442106	-0.0200457	1.80909	-0.458781	-0.128103	2.10279	-0.445948	-0.0194867	1.80607	-0.457673	-0.128103	2.10279	-0.445948	-0.00507652
108	-0.00321789	1.80818	-0.458713	-0.14784	2.09519	-0.435088	-0.00321789	1.80818	-0.458713	-0.147298	2.09879	-0.438933	-0.00254406	1.80503	-0.457488	-0.147298	2.09879	-0.438933	-0.00466466
109	0.0139938	1.80673	-0.459241	-0.165921	2.09069	-0.428637	0.0139938	1.80673	-0.459241	-0.165547	2.0942	-0.432267	0.0147384	1.80364	-0.457981	-0.165547	2.0942	-0.432267	-0.00503083
110	0.0314888	1.80498	-0.460448	-0.183036	2.08558	-0.422663	0.0314888	1.80498	-0.460448	-0.182791	2.08926	-0.426363	0.032359	1.80171	-0.459065	-0.182791	2.08926	-0.426363	-0.00497849
111	0.0492396	1.80277	-0.462252	-0.199158	2.08003	-0.417503	0.0492396	1.80277	-0.462252	-0.199047	2.08378	-0.421182	0.0502154	1.79941	-0.460787	-0.199047	2.08378	-0.421182	-0.00502715
112	0.0671593	1.80017	-0.464635	-0.21431	2.07399	-0.413235	0.0671593	1.80017	-0.464635	-0.214328	2.07782	-0.416906	0.0682431	1.79671	-0.463091	-0.214328	2.07782	-0.416906	-0.00468255
113	0.0851948	1.79711	-0.467501	-0.228534	2.06754	-0.410062	0.0851948	1.79711	-0.467501	-0.228668	2.07126	-0.413551	0.0863289	1.79373	-0.465964	-0.228668	2.07126	-0.413551	-0.00462668
114	0.103225	1.79373	-0.470834	-0.241887	2.06055	-0.407946	0.103225	1.79373	-0.470834	-0.242126	2.06421	-0.411322	0.104421	1.79037	-0.469287	-0.242126	2.06421	-0.411322	-0.0042349
115	0.121196	1.78997	-0.474507	-0.254446	2.05311	-0.407044	0.121196	1.78997	-0.474507	-0.254765	2.05657	-0.410183	0.122401	1.78678	-0.473021	-0.254765	2.05657	-0.410183	-0.00523828
116	0.13889	1.78623	-0.478598	-0.266253	2.04483	-0.407041	0.13889	1.78623	-0.478598	-0.26671	2.04872	-0.410517	0.140323	1.78262	-0.476908	-0.26671	2.04872	-0.410517	-0.00399599
117	0.156504	1.78186	-0.482685	-0.277478	2.03646	-0.408624	0.156504	1.78186	-0.482685	-0.277963	2.0399	-0.411661	0.157841	1.77865	-0.481177	-0.277963	2.0399	-0.411661	-0.00385523
118	0.173778	1.77744	-0.486905	-0.288152	2.02747	-0.411294	0.173778	1.77744	-0.486905	-0.288676	2.03067	-0.414091	0.175087	1.77444	-0.485493	-0.288676	2.03067	-0.414091	-0.00249648
119	0.19081	1.77268	-0.490999	-0.298424	2.01823	-0.415344	0.19081	1.77268	-0.490999	-0.298875	2.02067	-0.417453	0.191854	1.77039	-0.489922	-0.298875	2.02067	-0.417453	-0.00256053
120	0.207341	1.76816	-0.495101	-0.308285	2.00824	-0.420275	0.207341	1.76816	-0.495101	-0.308734	2.01042	-0.422147	0.208318	1.76611	-0.49414	-0.308734	2.01042	-0.422147	-0.00237154
121	0.223429	1.76375	-0.499027	-0.317843	1.99773	-0.426219	0.223429	1.76375	-0.499027	-0.318292	1.99971	-0.427914	0.224357	1.76188	-0.498156	-0.318292	1.99971	-0.427914	0.571689
122	0.307721	1.62713	-0.441345	-0.361919	2.1278	-0.552931	0.307721	1.62713	-0.441345	-0.292851	1.84748	-0.314841	0.171284	1.8902	-0.56324	-0.292851	1.84748	-0.314841	0.572482
123	0.352009	1.575	-0.423061	-0.38775	2.16835	-0.604332	0.352009	1.575	-0.423061	-0.285269	1.78384	-0.278825	0.157279	1.93455	-0.588239	-0.285269	1.78384	-0.278825	0.57271
124	0.38026	1.55526	-0.419549	-0.405924	2.17482	-0.628081	0.38026	1.55526	-0.419549	-0.285021	1.75338	-0.272003	0.158356	1.94722	-0.597657	-0.285021	1.75338	-0.272003	0.56172
125	0.400447	1.55082	-0.422649	-0.420047	2.16539	-0.639645	0.400447	1.55082	-0.422649	-0.288532	1.73794	-0.278683	0.166531	1.94548	-0.599544	-0.288532	1.73794	-0.278683	0.554756
126	0.417633	1.55185	-0.427729	-0.432654	2.15058	-0.647818	0.417633	1.55185	-0.427729	-0.29326	1.72704	-0.289826	0.176732	1.93932	-0.59845	-0.29326	1.72704	-0.289826	0.547139
