iteration	J-0	J-1	J-2	J-3	J-4	J-5	J-6	J-7	J-8	J-9	J-10	J-11	J-12	J-13	J-14	J-15	J-16	J-17	Sensor
20	0.318472	2.02559	-0.504182	-0.294763	1.74527	-0.534244	0.318472	2.02559	-0.504182	-0.294763	1.74527	-0.534244	0.318472	2.02559	-0.504182	-0.294763	1.74527	-0.534244	-0.000508785
21	0.301969	2.03767	-0.506303	-0.280832	1.75021	-0.528484	0.301969	2.03767	-0.506303	-0.280832	1.75021	-0.528484	0.301969	2.03767	-0.506303	-0.280832	1.75021	-0.528484	-0.000508785
22	0.284535	2.04883	-0.508243	-0.266884	1.75534	-0.522812	0.284535	2.04883	-0.508243	-0.266884	1.75534	-0.522812	0.284535	2.04883	-0.508243	-0.266884	1.75534	-0.522812	-0.000508785
23	0.26623	2.05908	-0.50992	-0.252968	1.76059	-0.517258	0.26623	2.05908	-0.50992	-0.252968	1.76059	-0.517258	0.26623	2.05908	-0.50992	-0.252968	1.76059	-0.517258	-0.000508785
24	0.247113	2.06841	-0.511255	-0.239115	1.76586	-0.511843	0.247113	2.06841	-0.511255	-0.239115	1.76586	-0.511843	0.247113	2.06841	-0.511255	-0.239115	1.76586	-0.511843	-0.000508785
25	0.22724	2.07684	-0.512171	-0.225337	1.77108	-0.506579	0.22724	2.07684	-0.512171	-0.225337	1.77108	-0.506579	0.22724	2.07684	-0.512171	-0.225337	1.77108	-0.506579	-0.000508785
26	0.206667	2.08437	-0.512596	-0.211632	1.77617	-0.501477	0.206667	2.08437	-0.512596	-0.211632	1.77617	-0.501477	0.206667	2.08437	-0.512596	-0.211632	1.77617	-0.501477	-0.000508785
27	0.185455	2.09103	-0.512461	-0.197985	1.78106	-0.496542	0.185455	2.09103	-0.512461	-0.197985	1.78106	-0.496542	0.185455	2.09103	-0.512461	-0.197985	1.78106	-0.496542	-0.000508785
28	0.163666	2.09682	-0.511706	-0.184365	1.78568	-0.491782	0.163666	2.09682	-0.511706	-0.184365	1.78568	-0.491782	0.163666	2.09682	-0.511706	-0.184365	1.78568	-0.491782	-0.000508785
29	0.14137	2.10175	-0.510278	-0.170733	1.78997	-0.487207	0.14137	2.10175	-0.510278	-0.170733	1.78997	-0.487207	0.14137	2.10175	-0.510278	-0.170733	1.78997	-0.487207	-0.000508785
30	0.118646	2.10582	-0.508135	-0.157041	1.79389	-0.482833	0.118646	2.10582	-0.508135	-0.157041	1.79389	-0.482833	0.118646	2.10582	-0.508135	-0.157041	1.79389	-0.482833	-0.000508785
31	0.0955825	2.10906	-0.505252	-0.143237	1.79737	-0.47868	0.0955825	2.10906	-0.505252	-0.143237	1.79737	-0.47868	0.0955825	2.10906	-0.505252	-0.143237	1.79737	-0.47868	-0.000508785
32	0.0722776	2.11147	-0.501617	-0.129264	1.8004	-0.47478	0.0722776	2.11147	-0.501617	-0.129264	1.8004	-0.47478	0.0722776	2.11147	-0.501617	-0.129264	1.8004	-0.47478	-0.000508785
33	0.0488407	2.11307	-0.49724	-0.115064	1.80294	-0.471168	0.0488407	2.11307	-0.49724	-0.115064	1.80294	-0.471168	0.0488407	2.11307	-0.49724	-0.115064	1.80294	-0.471168	-0.000508785
34	0.0253903	2.1139	-0.492151	-0.100583	1.80497	-0.467889	0.0253903	2.1139	-0.492151	-0.100583	1.80497	-0.467889	0.0253903	2.1139	-0.492151	-0.100583	1.80497	-0.467889	-0.000508785
35	0.00205225	2.11399	-0.486405	-0.0857716	1.8065	-0.464994	0.00205225	2.11399	-0.486405	-0.0857716	1.8065	-0.464994	0.00205225	2.11399	-0.486405	-0.0857716	1.8065	-0.464994	-0.000508785
36	-0.0210425	2.11336	-0.480079	-0.0705891	1.80752	-0.462534	-0.0210425	2.11336	-0.480079	-0.0705891	1.80752	-0.462534	-0.0210425	2.11336	-0.480079	-0.0705891	1.80752	-0.462534	-0.000508785
37	-0.0437622	2.11207	-0.473275	-0.0550057	1.80804	-0.460564	-0.0437622	2.11207	-0.473275	-0.0550057	1.80804	-0.460564	-0.0437622	2.11207	-0.473275	-0.0550057	1.80804	-0.460564	-0.000508785
