sim_time	behavior_0leg_0	behavior_0leg_1	behavior_0leg_2	behavior_0leg_3	behavior_0leg_4	behavior_0leg_5	behavior_1leg_0	behavior_1leg_1	behavior_1leg_2	behavior_1leg_3	behavior_1leg_4	behavior_1leg_5	behavior_2leg_0	behavior_2leg_1	behavior_2leg_2	behavior_2leg_3	behavior_2leg_4	behavior_2leg_5	behavior_3leg_0	behavior_3leg_1	behavior_3leg_2	behavior_3leg_3	behavior_3leg_4	behavior_3leg_5	behavior_4leg_0	behavior_4leg_1	behavior_4leg_2	behavior_4leg_3	behavior_4leg_4	behavior_4leg_5	behavior_5leg_0	behavior_5leg_1	behavior_5leg_2	behavior_5leg_3	behavior_5leg_4	behavior_5leg_5	behavior_6leg_0	behavior_6leg_1	behavior_6leg_2	behavior_6leg_3	behavior_6leg_4	behavior_6leg_5	behavior_7leg_0	behavior_7leg_1	behavior_7leg_2	behavior_7leg_3	behavior_7leg_4	behavior_7leg_5	behavior_8leg_0	behavior_8leg_1	behavior_8leg_2	behavior_8leg_3	behavior_8leg_4	behavior_8leg_5	
0.2672	-0.167503	-0.167503	-0.167503	0.167503	0.167503	0.167503	0	0	0	0	0	0	0.0191895	0.0191895	0.0191895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.2839	-0.193519	-0.193519	-0.193519	0.193519	0.193519	0.193519	0	0	0	0	0	0	0.0236698	0.0236698	0.0236698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.3006	-0.199516	-0.199516	-0.199516	0.199516	0.199516	0.199516	0	0	0	0	0	0	0.0256327	0.0256327	0.0256327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.3173	-0.198558	-0.198558	-0.198558	0.198558	0.198558	0.198558	0	0	0	0	0	0	0.0254859	0.0254859	0.0254859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.334	-0.194582	-0.194582	-0.194582	0.194582	0.194582	0.194582	0	0	0	0	0	0	0.0228345	0.0228345	0.0228345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.3507	-0.192567	-0.192567	-0.192567	0.192567	0.192567	0.192567	0	0	0	0	0	0	0.0183043	0.0183043	0.0183043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.3674	-0.193214	-0.193214	-0.193214	0.193214	0.193214	0.193214	0	0	0	0	0	0	0.0119497	0.0119497	0.0119497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.3841	-0.195329	-0.195329	-0.195329	0.195329	0.195329	0.195329	0	0	0	0	0	0	0.00432474	0.00432474	0.00432474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.4008	-0.198212	-0.198212	-0.198212	0.198212	0.198212	0.198212	0	0	0	0	0	0	0	0	0	0.00340705	0.00340705	0.00340705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.4175	-0.200446	-0.200446	-0.200446	0.200446	0.200446	0.200446	0	0	0	0	0	0	0	0	0	0.0106555	0.0106555	0.0106555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.4342	-0.201304	-0.201304	-0.201304	0.201304	0.201304	0.201304	0	0	0	0	0	0	0	0	0	0.0172499	0.0172499	0.0172499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.4509	-0.202571	-0.202571	-0.202571	0.202571	0.202571	0.202571	0	0	0	0	0	0	0	0	0	0.0230748	0.0230748	0.0230748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.4676	-0.20339	-0.20339	-0.20339	0.20339	0.20339	0.20339	0	0	0	0	0	0	0	0	0	0.0281327	0.0281327	0.0281327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.4843	-0.203737	-0.203737	-0.203737	0.203737	0.203737	0.203737	0	0	0	0	0	0	0	0	0	0.0324732	0.0324732	0.0324732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.501	-0.203865	-0.203865	-0.203865	0.203865	0.203865	0.203865	0	0	0	0	0	0	0	0	0	0.0361934	0.0361934	0.0361934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.5177	-0.204039	-0.204039	-0.204039	0.204039	0.204039	0.204039	0	0	0	0	0	0	0	0	0	0.0392761	0.0392761	0.0392761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.5344	-0.204742	-0.204742	-0.204742	0.204742	0.204742	0.204742	0	0	0	0	0	0	0	0	0	0.0418799	0.0418799	0.0418799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.5511	-0.205901	-0.205901	-0.205901	0.205901	0.205901	0.205901	0	0	0	0	0	0	0	0	0	0.0440776	0.0440776	0.0440776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.5678	-0.207046	-0.207046	-0.207046	0.207046	0.207046	0.207046	0	0	0	0	0	0	0	0	0	0.0459961	0.0459961	0.0459961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.5845	-0.207602	-0.207602	-0.207602	0.207602	0.207602	0.207602	0	0	0	0	0	0	0	0	0	0.0475806	0.0475806	0.0475806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.6012	-0.208439	-0.208439	-0.208439	0.208439	0.208439	0.208439	0	0	0	0	0	0	0	0	0	0.048952	0.048952	0.048952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.6179	-0.209564	-0.209564	-0.209564	0.209564	0.209564	0.209564	0	0	0	0	0	0	0	0	0	0.0501615	0.0501615	0.0501615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.6346	-0.210138	-0.210138	-0.210138	0.210138	0.210138	0.210138	0	0	0	0	0	0	0	0	0	0.0511914	0.0511914	0.0511914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.6513	-0.210801	-0.210801	-0.210801	0.210801	0.210801	0.210801	0	0	0	0	0	0	0	0	0	0.0520228	0.0520228	0.0520228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.668	-0.211636	-0.211636	-0.211636	0.211636	0.211636	0.211636	0	0	0	0	0	0	0	0	0	0.0527564	0.0527564	0.0527564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
0.6847	-0.212495	-0.212495	-0.212495	0.212495	0.212495	0.212495	0	0	0	0	0	0	0	0	0	0.0530595	0.0530595	0.0530595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	7.35191e-41	
