iteration	J-0	J-1	J-2	J-3	J-4	J-5	J-6	J-7	J-8	J-9	J-10	J-11	J-12	J-13	J-14	J-15	J-16	J-17	Sensor
30	0.118646	2.10582	-0.508135	-0.157041	1.79389	-0.482833	0.118646	2.10582	-0.508135	-0.157041	1.79389	-0.482833	0.118646	2.10582	-0.508135	-0.157041	1.79389	-0.482833	0.000130415
31	0.0955825	2.10906	-0.505252	-0.143237	1.79737	-0.47868	0.0955825	2.10906	-0.505252	-0.143237	1.79737	-0.47868	0.0955825	2.10906	-0.505252	-0.143237	1.79737	-0.47868	0.000130415
32	0.0722776	2.11147	-0.501617	-0.129264	1.8004	-0.47478	0.0722776	2.11147	-0.501617	-0.129264	1.8004	-0.47478	0.0722776	2.11147	-0.501617	-0.129264	1.8004	-0.47478	0.000130415
33	0.0488407	2.11307	-0.49724	-0.115064	1.80294	-0.471168	0.0488407	2.11307	-0.49724	-0.115064	1.80294	-0.471168	0.0488407	2.11307	-0.49724	-0.115064	1.80294	-0.471168	0.000130415
34	0.0253903	2.1139	-0.492151	-0.100583	1.80497	-0.467889	0.0253903	2.1139	-0.492151	-0.100583	1.80497	-0.467889	0.0253903	2.1139	-0.492151	-0.100583	1.80497	-0.467889	0.000130415
35	0.00205225	2.11399	-0.486405	-0.0857716	1.8065	-0.464994	0.00205225	2.11399	-0.486405	-0.0857716	1.8065	-0.464994	0.00205225	2.11399	-0.486405	-0.0857716	1.8065	-0.464994	0.000130415
36	-0.0210425	2.11336	-0.480079	-0.0705891	1.80752	-0.462534	-0.0210425	2.11336	-0.480079	-0.0705891	1.80752	-0.462534	-0.0210425	2.11336	-0.480079	-0.0705891	1.80752	-0.462534	0.000130415
37	-0.0437622	2.11207	-0.473275	-0.0550057	1.80804	-0.460564	-0.0437622	2.11207	-0.473275	-0.0550057	1.80804	-0.460564	-0.0437622	2.11207	-0.473275	-0.0550057	1.80804	-0.460564	0.000130415
38	-0.0659778	2.11015	-0.466119	-0.0390054	1.80807	-0.459133	-0.0659778	2.11015	-0.466119	-0.0390054	1.80807	-0.459133	-0.0659778	2.11015	-0.466119	-0.0390054	1.80807	-0.459133	0.000130415
39	-0.0875678	2.10766	-0.458751	-0.0225875	1.80763	-0.458286	-0.0875678	2.10766	-0.458751	-0.0225875	1.80763	-0.458286	-0.0875678	2.10766	-0.458751	-0.0225875	1.80763	-0.458286	0.000130415
40	-0.108422	2.10461	-0.451331	-0.00576781	1.80673	-0.458054	-0.108422	2.10461	-0.451331	-0.00576781	1.80673	-0.458054	-0.108422	2.10461	-0.451331	-0.00576781	1.80673	-0.458054	0.000130415
41	-0.128447	2.10105	-0.444027	0.0114209	1.80539	-0.458456	-0.128447	2.10105	-0.444027	0.0114209	1.80539	-0.458456	-0.128447	2.10105	-0.444027	0.0114209	1.80539	-0.458456	0.000130415
42	-0.147569	2.09699	-0.437011	0.0289301	1.80361	-0.459496	-0.147569	2.09699	-0.437011	0.0289301	1.80361	-0.459496	-0.147569	2.09699	-0.437011	0.0289301	1.80361	-0.459496	0.000130415
43	-0.165734	2.09244	-0.430452	0.0466971	1.80143	-0.461157	-0.165734	2.09244	-0.430452	0.0466971	1.80143	-0.461157	-0.165734	2.09244	-0.430452	0.0466971	1.80143	-0.461157	0.000130415
44	-0.182913	2.08742	-0.424513	0.0646476	1.79885	-0.463406	-0.182913	2.08742	-0.424513	0.0646476	1.79885	-0.463406	-0.182913	2.08742	-0.424513	0.0646476	1.79885	-0.463406	0.000130415
45	-0.199103	2.08191	-0.419343	0.0826996	1.79589	-0.466192	-0.199103	2.08191	-0.419343	0.0826996	1.79589	-0.466192	-0.199103	2.08191	-0.419343	0.0826996	1.79589	-0.466192	0.000130415
46	-0.214319	2.0759	-0.415071	0.100767	1.79258	-0.469448	-0.214319	2.0759	-0.415071	0.100767	1.79258	-0.469448	-0.214319	2.0759	-0.415071	0.100767	1.79258	-0.469448	0.000130415
47	-0.228601	2.0694	-0.411806	0.118762	1.78895	-0.473094	-0.228601	2.0694	-0.411806	0.118762	1.78895	-0.473094	-0.228601	2.0694	-0.411806	0.118762	1.78895	-0.473094	0.000130415
48	-0.242006	2.06238	-0.409634	0.136604	1.78504	-0.477042	-0.242006	2.06238	-0.409634	0.136604	1.78504	-0.477042	-0.242006	2.06238	-0.409634	0.136604	1.78504	-0.477042	0.000130415
49	-0.254606	2.05484	-0.408613	0.154216	1.78091	-0.481196	-0.254606	2.05484	-0.408613	0.154216	1.78091	-0.481196	-0.254606	2.05484	-0.408613	0.154216	1.78091	-0.481196	0.000130415
50	-0.266481	2.04677	-0.408779	0.171532	1.77661	-0.485457	-0.266481	2.04677	-0.408779	0.171532	1.77661	-0.485457	-0.266481	2.04677	-0.408779	0.171532	1.77661	-0.485457	0.000130415
51	-0.277721	2.03818	-0.410142	0.188496	1.77222	-0.489727	-0.277721	2.03818	-0.410142	0.188496	1.77222	-0.489727	-0.277721	2.03818	-0.410142	0.188496	1.77222	-0.489727	0.000130415
52	-0.288414	2.02907	-0.412693	0.205063	1.76781	-0.493911	-0.288414	2.02907	-0.412693	0.205063	1.76781	-0.493911	-0.288414	2.02907	-0.412693	0.205063	1.76781	-0.493911	0.000130415
53	-0.29865	2.01945	-0.416398	0.221203	1.76347	-0.497921	-0.29865	2.01945	-0.416398	0.221203	1.76347	-0.497921	-0.29865	2.01945	-0.416398	0.221203	1.76347	-0.497921	0.000130415
54	-0.30851	2.00933	-0.421211	0.23689	1.75929	-0.501673	-0.30851	2.00933	-0.421211	0.23689	1.75929	-0.501673	-0.30851	2.00933	-0.421211	0.23689	1.75929	-0.501673	0.000130415
55	-0.318068	1.99872	-0.427067	0.252111	1.75535	-0.505094	-0.318068	1.99872	-0.427067	0.252111	1.75535	-0.505094	-0.318068	1.99872	-0.427067	0.252111	1.75535	-0.505094	0.000130415
56	-0.327385	1.98764	-0.433886	0.266856	1.75175	-0.50812	-0.327385	1.98764	-0.433886	0.266856	1.75175	-0.50812	-0.327385	1.98764	-0.433886	0.266856	1.75175	-0.50812	0.000130415
57	-0.336509	1.97609	-0.441579	0.281119	1.74858	-0.510695	-0.336509	1.97609	-0.441579	0.281119	1.74858	-0.510695	-0.336509	1.97609	-0.441579	0.281119	1.74858	-0.510695	0.000130415
58	-0.345473	1.9641	-0.450042	0.294896	1.74592	-0.512776	-0.345473	1.9641	-0.450042	0.294896	1.74592	-0.512776	-0.345473	1.9641	-0.450042	0.294896	1.74592	-0.512776	0.000130415
59	-0.35429	1.95166	-0.459164	0.308178	1.74386	-0.514329	-0.35429	1.95166	-0.459164	0.308178	1.74386	-0.514329	-0.35429	1.95166	-0.459164	0.308178	1.74386	-0.514329	0.000130415
60	-0.362956	1.93881	-0.468822	0.320954	1.7425	-0.515335	-0.362956	1.93881	-0.468822	0.320954	1.7425	-0.515335	-0.362956	1.93881	-0.468822	0.320954	1.7425	-0.515335	0.000130415
61	-0.371452	1.92555	-0.478886	0.333207	1.74192	-0.515785	-0.371452	1.92555	-0.478886	0.333207	1.74192	-0.515785	-0.371452	1.92555	-0.478886	0.333207	1.74192	-0.515785	0.000130415
62	-0.379735	1.91193	-0.489214	0.34491	1.7422	-0.515686	-0.379735	1.91193	-0.489214	0.34491	1.7422	-0.515686	-0.379735	1.91193	-0.489214	0.34491	1.7422	-0.515686	2.70322e-05
63	-0.387748	1.89799	-0.499663	0.356029	1.74344	-0.515059	-0.387748	1.89799	-0.499663	0.356029	1.74344	-0.515059	-0.387748	1.89799	-0.499663	0.356029	1.74344	-0.515059	-0.000108616
