iteration	fitness_arr_avg	fitness_arr_max	fitness_arr_min	fitness_arr_stab_avg	fitness_arr_stab_max	fitness_arr_stab_min	fitness_arr_coll_avg	fitness_arr_coll_max	fitness_arr_coll_min	fitness_arr_powr_avg	fitness_arr_powr_max	fitness_arr_powr_min	fitness_arr_dist_avg	fitness_arr_dist_max	fitness_arr_dist_min	fitness_arr_slip_avg	fitness_arr_slip_max	fitness_arr_slip_min
0.000000	3.625961	3.720232	3.371976	0.421382	0.496110	0.333371	-2.971372	-2.933436	-3.026562	0.000000	0.000000	0.000000	1.336417	1.414394	1.248446	0.260446	0.401114	0.197772
1.000000	1.842099	2.704490	1.191365	1.380784	2.024353	0.650146	-3.087894	-2.894442	-3.329390	0.000000	0.000000	0.000000	0.716814	1.563005	-0.147440	0.581825	0.771588	0.286908
2.000000	2.157390	2.877723	0.653472	1.010386	1.495365	0.573994	-3.220884	-3.110144	-3.338757	0.000000	0.000000	0.000000	0.390833	1.059632	-0.692528	0.443942	0.515320	0.362117
3.000000	2.278141	3.246972	1.473439	1.031988	1.603270	0.751724	-3.307127	-3.215711	-3.361017	0.000000	0.000000	0.000000	0.523545	1.207444	-0.260692	0.520543	0.646240	0.309192
4.000000	2.194292	3.149873	1.065849	1.449810	2.605915	0.765899	-3.321552	-3.199854	-3.400728	0.000000	0.000000	0.000000	0.961478	1.180218	0.490040	0.638928	0.746518	0.565460
5.000000	2.766181	3.223356	1.848862	1.135834	2.050187	0.680146	-3.359047	-3.302755	-3.515455	0.000000	0.000000	0.000000	1.093108	1.220624	0.896858	0.550139	0.718663	0.412256
6.000000	2.753501	3.136640	2.006465	1.129477	1.828079	0.587704	-3.371738	-3.278208	-3.443466	0.000000	0.000000	0.000000	1.060334	1.229508	0.889033	0.549095	0.668524	0.420613
7.000000	2.967441	3.295669	2.379627	0.799828	1.445081	0.578975	-3.364680	-3.277346	-3.437191	0.000000	0.000000	0.000000	0.894582	1.097823	0.690160	0.491992	0.710306	0.392758
8.000000	2.806686	3.175051	2.327487	0.852394	1.074866	0.615184	-3.396289	-3.277346	-3.507652	0.000000	0.000000	0.000000	0.817108	1.115284	0.235377	0.554318	0.618384	0.501393
9.000000	2.788503	3.042103	2.426900	1.011816	1.298013	0.841694	-3.395605	-3.334549	-3.481455	0.000000	0.000000	0.000000	0.967040	1.240027	0.627413	0.562326	0.674095	0.437326
10.000000	2.698727	2.971571	2.272729	1.008913	1.190972	0.801309	-3.392585	-3.236560	-3.513534	0.000000	0.000000	0.000000	0.879470	1.215936	0.460314	0.564415	0.668524	0.437326
11.000000	2.946500	3.342241	2.546868	1.036686	1.383742	0.620512	-3.476882	-3.402713	-3.595131	0.000000	0.000000	0.000000	1.080468	1.235852	0.786588	0.574164	0.682451	0.370474
12.000000	2.907677	3.307399	2.420805	1.006047	1.409372	0.758860	-3.425787	-3.347399	-3.502362	0.000000	0.000000	0.000000	1.074636	1.272606	0.887497	0.586699	0.676880	0.481894
13.000000	2.399097	2.804085	1.863595	1.437698	2.111320	1.044531	-3.447526	-3.373694	-3.499447	0.000000	0.000000	0.000000	1.042124	1.392352	0.800498	0.652855	0.696379	0.518106
14.000000	2.418357	3.181841	1.620250	1.569324	2.144392	0.943434	-3.462283	-3.339855	-3.540001	0.000000	0.000000	0.000000	1.192181	1.469650	0.822425	0.666783	0.774373	0.529248
15.000000	2.848662	3.292451	2.416394	1.378778	1.758327	1.084900	-3.583597	-3.490090	-3.712971	0.000000	0.000000	0.000000	1.268147	1.582302	0.947755	0.624304	0.732591	0.554318
16.000000	2.438508	3.021858	2.036459	1.696187	2.056912	1.099923	-3.573881	-3.346107	-3.708271	0.000000	0.000000	0.000000	1.256496	1.529145	0.992611	0.695682	0.757660	0.637883
17.000000	2.423455	2.916354	1.923897	1.612482	2.131048	1.207152	-3.539496	-3.468972	-3.624681	0.000000	0.000000	0.000000	1.211971	1.439687	0.852815	0.715529	0.752089	0.665738
18.000000	2.055277	2.882262	-0.219412	1.982546	4.103320	1.257081	-3.515244	-3.354469	-3.653260	0.000000	0.000000	0.000000	1.211994	1.476192	0.506094	0.689415	0.749304	0.640669
19.000000	2.553651	2.968018	1.502280	1.540027	2.463455	1.128336	-3.536118	-3.436985	-3.648813	0.000000	0.000000	0.000000	1.234092	1.462007	0.980802	0.676532	0.732591	0.623955
20.000000	2.662910	3.285328	2.269331	1.572569	2.214014	1.190301	-3.599880	-3.391714	-3.685518	0.000000	0.000000	0.000000	1.292632	1.507653	1.116494	0.657033	0.735376	0.596100
