iteration	fitness_arr_avg	fitness_arr_max	fitness_arr_min	fitness_arr_stab_avg	fitness_arr_stab_max	fitness_arr_stab_min	fitness_arr_coll_avg	fitness_arr_coll_max	fitness_arr_coll_min	fitness_arr_powr_avg	fitness_arr_powr_max	fitness_arr_powr_min	fitness_arr_dist_avg	fitness_arr_dist_max	fitness_arr_dist_min	fitness_arr_slip_avg	fitness_arr_slip_max	fitness_arr_slip_min
0.000000	-0.000908	-0.000907	-0.000909	0.001393	0.001433	0.001274	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000485	0.000525	0.000365	0.000000	0.000000	0.000000
1.000000	-0.022181	0.182260	-0.255997	0.003558	0.006352	0.001495	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.039932	0.188611	-0.083269	0.058554	0.167598	0.000000
2.000000	0.109302	0.227208	-0.050763	0.003679	0.008150	0.001591	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.134917	0.233619	-0.009539	0.021936	0.061281	0.000000
3.000000	0.166816	0.317857	0.060951	0.004597	0.007624	0.002076	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.222597	0.352182	0.116140	0.051184	0.111421	0.000000
4.000000	0.013322	0.358761	-0.233192	0.008747	0.016258	0.002877	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.215315	0.397538	-0.060398	0.193245	0.325905	0.000000
5.000000	0.196924	0.345376	0.006019	0.005583	0.013675	0.003216	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.322284	0.393846	0.221009	0.119777	0.342618	0.036212
6.000000	0.289290	0.423710	0.155417	0.004329	0.006765	0.002683	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.362581	0.434749	0.209923	0.068962	0.158774	0.002786
7.000000	0.334431	0.496345	0.039367	0.004125	0.007851	0.002117	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.397051	0.500111	0.222562	0.058496	0.181058	0.000000
8.000000	0.182369	0.541193	-0.284311	0.007541	0.015862	0.002566	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.378280	0.547220	0.091573	0.188370	0.456825	0.000000
9.000000	0.452500	0.607423	-0.007929	0.005932	0.010162	0.004170	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.528767	0.632556	0.301637	0.070334	0.303621	0.002786
