iteration	fitness_arr_avg	fitness_arr_max	fitness_arr_min	fitness_arr_stab_avg	fitness_arr_stab_max	fitness_arr_stab_min	fitness_arr_coll_avg	fitness_arr_coll_max	fitness_arr_coll_min	fitness_arr_powr_avg	fitness_arr_powr_max	fitness_arr_powr_min	fitness_arr_dist_avg	fitness_arr_dist_max	fitness_arr_dist_min	fitness_arr_slip_avg	fitness_arr_slip_max	fitness_arr_slip_min
0.000000	-0.000908	-0.000907	-0.000909	0.001413	0.001433	0.001274	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000505	0.000525	0.000365	0.000000	0.000000	0.000000
1.000000	-0.090453	0.081183	-0.216183	0.004257	0.005775	0.001950	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.016210	0.150027	-0.209532	0.069986	0.192201	0.002786
2.000000	0.006209	0.129845	-0.103356	0.005751	0.012015	0.002175	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.093784	0.177611	-0.018463	0.081825	0.208914	0.011142
3.000000	0.080766	0.193006	-0.044874	0.004479	0.005934	0.002502	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.183086	0.267232	0.102524	0.097841	0.186630	0.036212
4.000000	0.164141	0.302685	0.073955	0.003731	0.004870	0.002195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.216270	0.308604	0.136595	0.048398	0.130919	0.002786
5.000000	0.272442	0.323700	0.171326	0.002848	0.004193	0.002184	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.287825	0.372609	0.180003	0.012535	0.089136	0.000000
6.000000	0.257375	0.407511	0.140727	0.003397	0.006250	0.002094	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.282360	0.410809	0.196929	0.021588	0.108635	0.000000
7.000000	0.374636	0.469568	0.281150	0.004124	0.005073	0.002403	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.397910	0.476733	0.286317	0.019150	0.086351	0.000000
8.000000	0.428550	0.495209	0.336272	0.004492	0.006278	0.002939	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.451845	0.534914	0.398126	0.018802	0.058496	0.000000
9.000000	0.453448	0.519053	0.302719	0.005961	0.008601	0.004635	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.503630	0.562142	0.461737	0.044220	0.150418	0.002786
